Position,Artist,Song Title,Year,JSON file,Split Names,Song Language
1,Gordon Jenkins and The Weavers,Goodnight Irene,1950,0.json,Gordon Jenkins,en
2,Nat King Cole,Mona Lisa,1950,1.json,Nat King Cole,en
4,Gary and Bing Crosby,Sam's Song,1950,3.json,Gary,en
5,Gary and Bing Crosby,Simple Melody,1950,4.json,Gary,en
6,Teresa Brewer,"Music, Music, Music",1950,5.json,Teresa Brewer,en
7,Guy Lombardo,Third Man Theme,1950,6.json,Guy Lombardo,en
8,Red Foley,Chattanoogie Shoe Shine Boy,1950,7.json,Red Foley,en
9,Sammy Kaye,Harbor Lights,1950,8.json,Sammy Kaye,en
10,Sammy Kaye and Don Cornell,It Isn't Fair,1950,9.json,Sammy Kaye,en
11,Eileen Barton,If I Knew You Were Coming I'd've Baked A Cake,1950,10.json,Eileen Barton,en
12,Kay Starr,Bonaparte's Retreat,1950,11.json,Kay Starr,en
14,Tony Martin,There's No Tomorrow,1950,13.json,Tony Martin,en
15,Phil Harris,The Thing,1950,14.json,Phil Harris,en
16,Ames Brothers,Sentimental Me,1950,15.json,Ames Brothers,en
17,Andrews Sisters and Gordon Jenkins,I Wanna Be Loved,1950,16.json,Andrews Sisters,en
18,Patti Page,Tennessee Waltz,1950,17.json,Patti Page,en
19,Andrews Sisters and Gordon Jenkins,"I Can Dream, Can't I",1950,18.json,Andrews Sisters,en
20,Tennessee Ernie Ford and Kay Starr,I'll Never Be Free,1950,19.json,Tennessee Ernie Ford,en
21,Patti Page,All My Love,1950,20.json,Patti Page,en
22,Gordon Jenkins,My Foolish Heart,1950,21.json,Gordon Jenkins,en
25,Perry Como,Hoop-Dee-Doo,1950,24.json,Perry Como,en
27,Ames Brothers,Can Anyone Explain?,1950,26.json,Ames Brothers,en
28,Billy Eckstine,My Foolish Heart,1950,27.json,Billy Eckstine,en
29,Bing Crosby,Dear Hearts And Gentle People,1950,28.json,Bing Crosby,en
30,Frankie Laine,Cry Of The Wild Goose,1950,29.json,Frankie Laine,en
1,Nat King Cole,Too Young,1951,30.json,Nat King Cole,en
2,Tony Bennett,Because Of You,1951,31.json,Tony Bennett,en
3,Les Paul and Mary Ford,How High The Moon,1951,32.json,Les Paul,en
4,Rosemary Clooney,Come On-a My House,1951,33.json,Rosemary Clooney,en
5,Mario Lanza,Be My Love,1951,34.json,Mario Lanza,en
6,Weavers,On Top Of Old Smoky,1951,35.json,Weavers,en
7,Tony Bennett,"Cold, Cold Heart",1951,36.json,Tony Bennett,en
8,Perry Como,If,1951,37.json,Perry Como,en
9,Mario Lanza,Loveliest Night Of The Year,1951,38.json,Mario Lanza,en
10,Patti Page,Tennessee Waltz,1951,39.json,Patti Page,en
11,Frankie Laine,Jezebel,1951,40.json,Frankie Laine,en
12,Tony Martin,I Get Ideas,1951,41.json,Tony Martin,en
13,Les Paul and Mary Ford,Mockin' Bird Hill,1951,42.json,Les Paul,en
14,Patti Page,Mockin' Bird Hill,1951,43.json,Patti Page,en
15,Guy Mitchell and Mitch Miller,My Heart Cries For You,1951,44.json,Guy Mitchell,en
16,Eddy Howard,(It's No) Sin,1951,45.json,Eddy Howard,en
17,Vaughn Monroe,Sound Off,1951,46.json,Vaughn Monroe,en
18,Dinah Shore,Sweet Violets,1951,47.json,Dinah Shore,en
19,Les Paul and Mary Ford,The World Is Waiting For The Sunrise,1951,48.json,Les Paul,en
20,Guy Mitchell and Mitch Miller,"My Truly, Truly Fair",1951,49.json,Guy Mitchell,en
21,Four Aces and Al Alberta,(It's No) Sin,1951,50.json,Four Aces,en
22,Debbie Reynolds and Carleton Carpenter,Aba Daba Honeymoon,1951,51.json,Debbie Reynolds,en
23,Frankie Laine,"Rose, Rose I Love You",1951,52.json,Frankie Laine,en
25,Billy Eckstine,I Apologize,1951,54.json,Billy Eckstine,en
26,Patti Page,Would I Love You,1951,55.json,Patti Page,en
27,Perry Como and The Fontane Sisters,You're Just In Love,1951,56.json,Perry Como,en
28,Ames Brothers and Les Brown,Undecided,1951,57.json,Ames Brothers,en
29,Phil Harris,The Thing,1951,58.json,Phil Harris,en
30,Les Baxter,Because Of You,1951,59.json,Les Baxter,en
2,Kay Starr,Wheel Of Fortune,1952,61.json,Kay Starr,en
3,Johnnie Ray,Cry,1952,62.json,Johnnie Ray,en
4,Jo Stafford,You Belong To Me,1952,63.json,Jo Stafford,en
5,Vera Lynn,"Auf Wiederseh'n, Sweetheart",1952,64.json,Vera Lynn,en
6,Rosemary Clooney,Half As Much,1952,65.json,Rosemary Clooney,en
7,Eddie Fisher and Hugo Winterhalter,Wish You Were Here,1952,66.json,Eddie Fisher,en
8,Patti Page,I Went To Your Wedding,1952,67.json,Patti Page,en
9,Al Martino,Here In My Heart,1952,68.json,Al Martino,en
10,Percy Faith,Delicado,1952,69.json,Percy Faith,en
11,Georgia Gibbs,Kiss Of Fire,1952,70.json,Georgia Gibbs,en
12,Eddie Fisher and Hugo Winterhalter,Anytime,1952,71.json,Eddie Fisher,en
13,Four Aces,Tell Me Why,1952,72.json,Four Aces,en
14,Ella Mae Morse,Blacksmith Blues,1952,73.json,Ella Mae Morse,en
16,Rosemary Clooney,Botch-a-me,1952,75.json,Rosemary Clooney,en
17,Doris Day,A Guy Is A Guy,1952,76.json,Doris Day,en
19,Frankie Laine,High Noon,1952,78.json,Frankie Laine,en
20,Eddie Fisher and Hugo Winterhalter,I'm Yours,1952,79.json,Eddie Fisher,en
21,Mills Brothers,Glow Worm,1952,80.json,Mills Brothers,en
22,Johnny Standley,It's In The Book,1952,81.json,Johnny St,en
23,Pee Wee King,Slow Poke,1952,82.json,Pee Wee King,en
24,Johnnie Ray,Walkin' My Baby Back Home,1952,83.json,Johnnie Ray,en
26,Don Cornell,I'm Yours,1952,85.json,Don Cornell,en
27,Don Cornell,I'll Walk Alone,1952,86.json,Don Cornell,en
28,Eddie Fisher and Hugo Winterhalter,Tell Me Why,1952,87.json,Eddie Fisher,en
29,Hilltoppers,Trying,1952,88.json,Hilltoppers,en
30,Johnnie Ray,"Please, Mr. Sun",1952,89.json,Johnnie Ray,en
1,Percy Faith,Song From Moulin Rouge,1953,90.json,Percy Faith,en
2,Les Paul and Mary Ford,Vaya Con Dios,1953,91.json,Les Paul,en
3,Patti Page,Doggie In The Window,1953,92.json,Patti Page,en
4,Eddie Fisher,I'm Walking Behind You,1953,93.json,Eddie Fisher,en
5,Ames Brothers,"You, You, You",1953,94.json,Ames Brothers,en
6,Teresa Brewer,Till I Waltz Again With You,1953,95.json,Teresa Brewer,en
7,Les Baxter,April In Portugal,1953,96.json,Les Baxter,en
8,Perry Como,No Other Love,1953,97.json,Perry Como,en
9,Perry Como,Don't Let The Stars Get In Your Eyes,1953,98.json,Perry Como,en
10,Frankie Laine,I Believe,1953,99.json,Frankie Laine,en
13,Nat King Cole,Pretend,1953,102.json,Nat King Cole,en
15,Stan Freberg,St. George And The Dragonet,1953,104.json,Stan Freberg,en
16,Hilltoppers,P.S. I Love You,1953,105.json,Hilltoppers,en
17,Gaylords,Tell Me You're Mine,1953,106.json,Gaylords,en
19,Tony Bennett,Rags To Riches,1953,108.json,Tony Bennett,en
21,Perry Como,Say You're Mine Again,1953,110.json,Perry Como,en
24,June Valli,Crying In The Chapel,1953,113.json,June Valli,en
25,Joni James,Why Don't You Believe Me,1953,114.json,Joni James,en
26,Joni James,Your Cheating Heart,1953,115.json,Joni James,en
28,Eddie Fisher,With These Hands,1953,117.json,Eddie Fisher,en
30,Joni James,Have You Heard?,1953,119.json,Joni James,en
1,Kitty Kallen,Little Things Mean A Lot,1954,120.json,Kitty Kallen,en
2,Perry Como,Wanted,1954,121.json,Perry Como,en
3,Rosemary Clooney,Hey There,1954,122.json,Rosemary Clooney,en
4,Crew Cuts,Sh-Boom,1954,123.json,Crew Cuts,en
5,Jo Stafford,Make Love To Me,1954,124.json,Jo Stafford,en
6,Eddie Fisher,Oh! My Pa-pa,1954,125.json,Eddie Fisher,en
7,Four Knights,I Get So Lonely,1954,126.json,Four Knights,en
8,Four Aces,Three Coins In The Fountain,1954,127.json,Four Aces,en
9,Doris Day,Secret Love,1954,128.json,Doris Day,en
10,Archie Bleyer,Hernando's Hideaway,1954,129.json,Archie Bleyer,en
11,Frank Sinatra,Young At Heart,1954,130.json,Frank Sinatra,en
12,Rosemary Clooney,This Ole House,1954,131.json,Rosemary Clooney,en
13,Eddie Fisher,I Need You Now,1954,132.json,Eddie Fisher,en
14,Patti Page,Cross Over The Bridge,1954,133.json,Patti Page,en
15,Gaylords,The Little Shoemaker,1954,134.json,Gaylords,en
16,Dean Martin,That's Amore,1954,135.json,Dean Martin,en
17,Frank Weir,The Happy Wanderer,1954,136.json,Frank Weir,en
18,Nat King Cole,Answer Me My Love,1954,137.json,Nat King Cole,en
19,Tony Bennett,Stranger In Paradise,1954,138.json,Tony Bennett,en
20,Doris Day,If I Give My Heart To You,1954,139.json,Doris Day,en
21,Kay Starr,If You Love Me (Really Love Me),1954,140.json,Kay Starr,en
23,Don Cornell,Hold My Hand,1954,142.json,Don Cornell,en
24,Patti Page,Changing Partners,1954,143.json,Patti Page,en
25,Perry Como,Papa Loves Mambo,1954,144.json,Perry Como,en
26,Bill Haley and His Comets,"Shake, Rattle And Roll",1954,145.json,Bill Haley,en
27,Tony Bennett,Rags To Riches,1954,146.json,Tony Bennett,en
28,Kitty Kallen,In The Chapel In The Moonlight,1954,147.json,Kitty Kallen,en
29,Four Aces,Stranger In Paradise,1954,148.json,Four Aces,en
30,Tony Martin,Here,1954,149.json,Tony Martin,en
1,Perez Prado,Cherry Pink And Apple Blossom White,1955,150.json,Perez Prado,en
2,Bill Haley and His Comets,Rock Around The Clock,1955,151.json,Bill Haley,en
3,Mitch Miller,The Yellow Rose Of Texas,1955,152.json,Mitch Miller,en
4,Roger Williams,Autumn Leaves,1955,153.json,Roger Williams,en
5,Les Baxter,Unchained Melody,1955,154.json,Les Baxter,en
6,Bill Hayes,The Ballad Of Davy Crockett,1955,155.json,Bill Hayes,en
7,Four Aces,Love Is A Many Splendored Thing,1955,156.json,Four Aces,en
8,McGuire Sisters,Sincerely,1955,157.json,McGuire Sisters,en
9,Pat Boone,Ain't That A Shame,1955,158.json,Pat Boone,en
10,Georgia Gibbs,Dance With Me Henry,1955,159.json,Georgia Gibbs,en
12,Billy Vaughn,Melody Of Love,1955,161.json,Billy Vaughn,en
13,Tennessee Ernie Ford,Sixteen Tons,1955,162.json,Tennessee Ernie Ford,en
14,Frank Sinatra,Learnin' The Blues,1955,163.json,Frank Sinatra,en
15,Fontaine Sisters,Hearts Of Stone,1955,164.json,Fontaine Sisters,en
16,Georgia Gibbs,Tweedle Dee,1955,165.json,Georgia Gibbs,en
17,Four Lads,Moments To Remember,1955,166.json,Four Lads,en
18,Chordettes,Mr. Sandman,1955,167.json,Chordettes,en
19,Joan Weber,Let Me Go Lover,1955,168.json,Joan Weber,en
20,Nat King Cole,A Blossom Fell,1955,169.json,Nat King Cole,en
21,Al Hibbler,Unchained Melody,1955,170.json,Al Hibbler,en
23,Art Mooney,Honey Babe,1955,172.json,Art Mooney,en
25,Perry Como,Ko Ko Mo,1955,174.json,Perry Como,en
26,Gisele Mackenzie,Hard To Get,1955,175.json,Gisele Mackenzie,en
27,Ames Brothers,The Naughty Lady Of Shady Lane,1955,176.json,Ames Brothers,en
28,Jaye P. Morgan,That's All I Want From You,1955,177.json,Jaye P. Morgan,en
29,Platters,Only You,1955,178.json,Platters,en
30,Somethin' Smith and The Redheads,It's A Sin To Tell A Lie,1955,179.json,Somethin' Smith,en
1,Elvis Presley,Heartbreak Hotel,1956,180.json,Elvis Presley,en
2,Elvis Presley,Don't Be Cruel,1956,181.json,Elvis Presley,en
3,Nelson Riddle,Lisbon Antigua,1956,182.json,Nelson Riddle,en
4,Platters,My Prayer,1956,183.json,Platters,en
5,Gogi Grant,The Wayward Wind,1956,184.json,Gogi Grant,en
6,Les Baxter,The Poor People Of Paris,1956,185.json,Les Baxter,en
7,Doris Day,Whatever Will Be Will Be (Que Sera Sera),1956,186.json,Doris Day,en
8,Elvis Presley,Hound Dog,1956,187.json,Elvis Presley,en
9,Dean Martin,Memories Are Made Of This,1956,188.json,Dean Martin,en
10,Kay Starr,Rock And Roll Waltz,1956,189.json,Kay Starr,en
12,Platters,The Great Pretender,1956,191.json,Platters,en
13,Pat Boone,I Almost Lost My Mind,1956,192.json,Pat Boone,en
14,Elvis Presley,"I Want You, I Need You, I Love You",1956,193.json,Elvis Presley,en
15,Elvis Presley,Love Me Tender,1956,194.json,Elvis Presley,en
16,Perry Como,Hot Diggity,1956,195.json,Perry Como,en
18,Carl Perkins,Blue Suede Shoes,1956,197.json,Carl Perkins,en
19,Jim Lowe,The Green Door,1956,198.json,Jim Lowe,en
20,Four Lads,"No, Not Much",1956,199.json,Four Lads,en
21,Bill Doggett,Honky Tonk,1956,200.json,Bill Doggett,en
22,Tennessee Ernie Ford,Sixteen Tons,1956,201.json,Tennessee Ernie Ford,en
23,Johnnie Ray,Just Walking In The Rain,1956,202.json,Johnnie Ray,en
24,Patti Page,Allegheny Moon,1956,203.json,Patti Page,en
25,Fats Domino,I'm In Love Again,1956,204.json,Fats Domino,en
26,Patience and Prudence,Tonight You Belong To Me,1956,205.json,Patience,en
27,Gene Vincent,Be-Bop-A-Lula,1956,206.json,Gene Vincent,en
28,Frankie Lymon and The Teenagers,Why Do Fools Fall In Love,1956,207.json,Frankie Lymon,en
29,Four Lads,Standing On The Corner,1956,208.json,Four Lads,en
30,Buchanan and Goodman,The Flying Saucer,1956,209.json,Buchanan,en
32,Cathy Carr,Ivory Tower,1956,211.json,Cathy Carr,en
33,Bill Haley and His Comets,See You Later Alligator,1956,212.json,Bill Haley,en
34,Pat Boone,I'll Be Home,1956,213.json,Pat Boone,en
35,Vic Damone,On The Street Where You Live,1956,214.json,Vic Damone,en
36,Platters,Magic Touch,1956,215.json,Platters,en
37,Chordettes,Born To Be With You,1956,216.json,Chordettes,en
38,Don Cherry,Band Of Gold,1956,217.json,Don Cherry,en
39,Perry Como,More,1956,218.json,Perry Como,en
40,Guy Mitchell,Singing The Blues,1956,219.json,Guy Mitchell,en
41,Fats Domino,Blueberry Hill,1956,220.json,Fats Domino,en
42,Sanford Clark,The Fool,1956,221.json,Sanford Clark,en
44,Bing Crosby and Grace Kelly,True Love,1956,223.json,Bing Crosby,en
45,Little Richard,Long Tall Sally,1956,224.json,Little Richard,en
46,Teresa Brewer,Sweet Old Fashioned Girl,1956,225.json,Teresa Brewer,en
47,Nervous Norvus,Transfusion,1956,226.json,Nervous Norvus,en
48,Ames Brothers,It Only Hurts For A Little While,1956,227.json,Ames Brothers,en
49,Teresa Brewer,A Tear Fell,1956,228.json,Teresa Brewer,en
50,Lonnie Donegan,Rock Island Line,1956,229.json,Lonnie Donegan,en
51,Dream Weavers,It's Almost Tomorrow,1956,230.json,Dream Weavers,en
52,Pat Boone,Friendly Persuasion (Thee I Love),1956,231.json,Pat Boone,en
53,Frank Sinatra,Hey Jealous Lover,1956,232.json,Frank Sinatra,en
55,Andy Williams,Canadian Sunset,1956,234.json,Andy Williams,en
56,Eddie Fisher,Dungaree Doll,1956,235.json,Eddie Fisher,en
57,George Hamilton Iv,A Rose and a Baby Ruth,1956,236.json,George Hamilton Iv,en
58,Eddie Fisher,Cindy Oh Cindy,1956,237.json,Eddie Fisher,en
59,Jerry Vale,You Don't Know Me,1956,238.json,Jerry Vale,en
61,Gale Storm,Ivory Tower,1956,240.json,Gale Storm,en
62,Joe Valino,Garden of Eden,1956,241.json,Joe Valino,en
63,Vince Martin and the Tarriers,Cindy Oh Cindy,1956,242.json,Vince Martin,en
64,Otis Williams and the Charms,Ivory Tower,1956,243.json,Otis Williams,en
65,Crew Cuts,Angels in the Sky,1956,244.json,Crew Cuts,en
67,Gale Storm,Why Do Fools Fall in Love,1956,246.json,Gale Storm,en
68,Gale Storm,Teen Age Prayer,1956,247.json,Gale Storm,en
69,McGuire Sisters,Picnic,1956,248.json,McGuire Sisters,en
70,Al Hibbler,After the Lights Go Down Low,1956,249.json,Al Hibbler,en
71,Patti Page,Mama From the Train,1956,250.json,Patti Page,en
72,Nat King Cole,That's All There Is to That,1956,251.json,Nat King Cole,en
73,Kit Carson,Band of Gold,1956,252.json,Kit Carson,en
74,Tony Martin,Walk Hand in Hand,1956,253.json,Tony Martin,en
75,Diamonds,Why Do Fools Fall in Love,1956,254.json,Diamonds,en
76,Perry Como,Juke Box Baby,1956,255.json,Perry Como,en
78,Jo Stafford,It's Almost Tomorrow,1956,257.json,Jo Stafford,en
79,Platters,You'll Never Never Know,1956,258.json,Platters,en
80,Perry Como,Glendora,1956,259.json,Perry Como,en
81,Johnny Cash,I Walk the Line,1956,260.json,Johnny Cash,en
82,Tony Bennett,Can You Find It in Your Heart,1956,261.json,Tony Bennett,en
83,Pat Boone,Tutti-Frutti,1956,262.json,Pat Boone,en
84,Fontane Sisters,Eddie My Love,1956,263.json,Fontane Sisters,en
85,Don Rondo,Two Different Worlds,1956,264.json,Don Rondo,en
88,Nat King Cole,Night Lights,1956,267.json,Nat King Cole,en
89,Cadillacs,Speedoo,1956,268.json,Cadillacs,en
90,Diamonds,The Church Bells May Ring,1956,269.json,Diamonds,en
91,Peggy Lee,Mr Wonderful,1956,270.json,Peggy Lee,en
92,Fats Domino,My Blue Heaven,1956,271.json,Fats Domino,en
93,Clyde McPhatter,Treasure of Love,1956,272.json,Clyde McPhatter,en
94,Eileen Rodgers,Miracle of Love,1956,273.json,Eileen Rodgers,en
95,Frankie Lymon and the Teenagers,I Want You to Be My Girl,1956,274.json,Frankie Lymon,en
97,Chordettes,Lay Down Your Arms,1956,276.json,Chordettes,en
99,Teresa Brewer,Bo Weevil,1956,278.json,Teresa Brewer,en
1,Elvis Presley,All Shook Up,1957,280.json,Elvis Presley,en
2,Pat Boone,Love Letters In The Sand,1957,281.json,Pat Boone,en
3,Diamonds,Little Darlin',1957,282.json,Diamonds,en
4,Tab Hunter,Young Love,1957,283.json,Tab Hunter,en
5,Jimmy Dorsey,So Rare,1957,284.json,Jimmy Dorsey,en
6,Pat Boone,Don't Forbid Me,1957,285.json,Pat Boone,en
7,Guy Mitchell,Singing The Blues,1957,286.json,Guy Mitchell,en
8,Sonny James,Young Love,1957,287.json,Sonny James,en
9,Elvis Presley,Too Much,1957,288.json,Elvis Presley,en
10,Perry Como,Round And Round,1957,289.json,Perry Como,en
11,Everly Brothers,Bye Bye Love,1957,290.json,Everly Brothers,en
12,Debbie Reynolds,Tammy,1957,291.json,Debbie Reynolds,en
13,Buddy Knox,Party Doll,1957,292.json,Buddy Knox,en
14,Elvis Presley,Teddy Bear,1957,293.json,Elvis Presley,en
15,Harry Belafonte,Banana Boat (Day-O),1957,294.json,Harry Belafonte,en
16,Elvis Presley,Jailhouse Rock,1957,295.json,Elvis Presley,en
17,Marty Robbins,A White Sport Coat (And A Pink Carnation),1957,296.json,Marty Robbins,en
18,Del-Vikings,Come Go With Me,1957,297.json,Del-Vikings,en
19,Everly Brothers,Wake Up Little Susie,1957,298.json,Everly Brothers,en
20,Sam Cooke,You Send Me,1957,299.json,Sam Cooke,en
21,Coasters,Searchin',1957,300.json,Coasters,en
22,Chuck Berry,School Day,1957,301.json,Chuck Berry,en
23,Ferlin Husky,Gone,1957,302.json,Ferlin Husky,en
24,Paul Anka,Diana,1957,303.json,Paul Anka,en
25,Ricky Nelson,A Teenager's Romance,1957,304.json,Ricky Nelson,en
26,Tarriers,The Banana Boat Song,1957,305.json,Tarriers,en
27,Jimmie Rodgers,Honeycomb,1957,306.json,Jimmie Rodgers,en
29,Gale Storm,Dark Moon,1957,308.json,Gale Storm,en
30,Crickets,That'll Be The Day,1957,309.json,Crickets,en
31,Charlie Gracie,Butterfly,1957,310.json,Charlie Gracie,en
32,Frankie Laine,Moonlight Gambler,1957,311.json,Frankie Laine,en
33,Tommy Sands,Teenage Crush,1957,312.json,Tommy S,en
34,Johnny Mathis,It's Not For Me To Say,1957,313.json,Johnny Mathis,en
35,Rays,Silhouettes,1957,314.json,Rays,en
36,Andy Williams,Butterfly,1957,315.json,Andy Williams,en
37,Terry Gilkyson,Marianne,1957,316.json,Terry Gilkyson,en
38,Fats Domino,I'm Walkin',1957,317.json,Fats Domino,en
39,Johnny Mathis,Chances Are,1957,318.json,Johnny Mathis,en
40,Nat King Cole,Send For Me,1957,319.json,Nat King Cole,en
41,Russ Hamilton,Rainbow,1957,320.json,Russ Hamilton,en
42,Ricky Nelson,Be-bop Baby,1957,321.json,Ricky Nelson,en
44,Jim Lowe,The Green Door,1957,323.json,Jim Lowe,en
45,Billy Williams,I'm Gonna Sit Rlght Down And Write Myself A Letter,1957,324.json,Billy Williams,en
46,Patti Page,Old Cape Cod,1957,325.json,Patti Page,en
47,Bobbettes,Mr. Lee,1957,326.json,Bobbettes,en
48,Fats Domino,Blueberry Hill,1957,327.json,Fats Domino,en
49,Del-Vikings,Whispering Bells,1957,328.json,Del-Vikings,en
50,Fats Domino,Blue Monday,1957,329.json,Fats Domino,en
51,Johnny Mathis,Wonderful! Wonderful!,1957,330.json,Johnny Mathis,en
52,Jane Morgan and the Troubadours,Fascination,1957,331.json,Jane Morgan,en
53,Bobby Helms,My Special Angel,1957,332.json,Bobby Helms,en
54,Billy Ward and His Dominoes,Star Dust,1957,333.json,Billy Ward,en
56,Elvis Presley,Love Me Tender,1957,335.json,Elvis Presley,en
57,Harry Belafonte,Jamaica Farewell,1957,336.json,Harry Belafonte,en
58,Pat Boone,Why Baby Why,1957,337.json,Pat Boone,en
59,Betty Johnson,I Dreamed,1957,338.json,Betty Johnson,en
60,Buddy Knox,Hula Love,1957,339.json,Buddy Knox,en
61,Tune Weavers,"Happy, Happy Birthday Baby",1957,340.json,Tune Weavers,en
62,Ivory Joe Hunter,Since I Met You Baby,1957,341.json,Ivory Joe Hunter,en
63,Jim Reeves,Four Walls,1957,342.json,Jim Reeves,en
64,Jerry Lewis,Rock-a-Bye Your Baby with a Dixie Melody,1957,343.json,Jerry Lewis,en
66,Tony Bennett,In the Middle of an Island,1957,345.json,Tony Bennett,en
67,Johnnie and Joe,Over the Mountain Across the Sea,1957,346.json,Johnnie,en
68,Hilltoppers,Marianne,1957,347.json,Hilltoppers,en
69,Don Rondo,White Silver Sands,1957,348.json,Don Rondo,en
70,Four Lads,Who Needs You,1957,349.json,Four Lads,en
71,Ames Brothers,Melodie D'Amour,1957,350.json,Ames Brothers,en
72,Thurston Harris,Little Bitty Pretty One,1957,351.json,Thurston Harris,en
73,Steve Lawrence,Party Doll,1957,352.json,Steve Lawrence,en
74,Coasters,Young Blood,1957,353.json,Coasters,en
75,Victor Young,Around the World,1957,354.json,Victor Young,en
76,Andy Williams,I Like Your Kind of Love,1957,355.json,Andy Williams,en
77,Bonnie Guitar,Dark Moon,1957,356.json,Bonnie Guitar,en
78,Mickey and Sylvia,Love Is Strange,1957,357.json,Mickey,en
79,Chuck Berry,Rock and Roll Music,1957,358.json,Chuck Berry,en
80,Little Richard,Jenny Jenny,1957,359.json,Little Richard,en
81,Pat Boone,Bernardine,1957,360.json,Pat Boone,en
82,Little Richard,Keep a Knockin',1957,361.json,Little Richard,en
83,Sal Mineo,Start Movin',1957,362.json,Sal Mineo,en
84,Chuck Willis,C.C. Rider,1957,363.json,Chuck Willis,en
85,Gene Vincent,Lotta Lovin',1957,364.json,Gene Vincent,en
87,Fats Domino,Valley of Tears,1957,366.json,Fats Domino,en
88,Pat Boone,Remember You're Mine,1957,367.json,Pat Boone,en
89,Guy Mitchell,Rock-a-Billy,1957,368.json,Guy Mitchell,en
90,Margie Rayburn,I'm Available,1957,369.json,Margie Rayburn,en
91,Larry Williams,Bony Maronie,1957,370.json,Larry Williams,en
92,Harry Belafonte,Mama Look at Bubu,1957,371.json,Harry Belafonte,en
93,Patience and Prudence,Gonna Get Along Without Ya Now,1957,372.json,Patience,en
94,Lavern Baker,Jim Dandy,1957,373.json,Lavern Baker,en
95,Marvin Rainwater,Gonna Find Me a Bluebird,1957,374.json,Marvin Rainwater,en
96,Four Coins,Shangri-La,1957,375.json,Four Coins,en
97,Rusty Draper,Freight Train,1957,376.json,Rusty Draper,en
98,Elvis Presley,Loving You,1957,377.json,Elvis Presley,en
99,Jimmy Bowen,I'm Sticking with You,1957,378.json,Jimmy Bowen,en
100,Joe Bennett and the Sparkletones,Black Slacks,1957,379.json,Joe Bennett,en
4,David Seville,Witch Doctor,1958,383.json,David Seville,en
5,Perez Prado,Patricia,1958,384.json,Perez Prado,en
9,Tommy Edwards,It's All In The Game,1958,388.json,Tommy Edwards,en
10,Dean Martin,Return To Me,1958,389.json,Dean Martin,en
11,Conway Twitty,It's Only Make Believe,1958,390.json,Conway Twitty,en
12,Sheb Wooley,The Purple People Eater,1958,391.json,Sheb Wooley,en
13,Everly Brothers,Bird Dog / Devoted To You,1958,392.json,Everly Brothers,en
15,Elegants,Little Star,1958,394.json,Elegants,en
17,Laurie London,He's Got The Whole World In His Hands,1958,396.json,Laurie London,en
18,Platters,Twilight Time,1958,397.json,Platters,en
19,Jimmie Rodgers,Secretly,1958,398.json,Jimmie Rodgers,en
20,Danny and The Juniors,At The Hop,1958,399.json,Danny,en
21,Coasters,Yakety Yak,1958,400.json,Coasters,en
23,Ricky Nelson,Poor Little Fool,1958,402.json,Ricky Nelson,en
25,Jimmy Clanton,Just A Dream,1958,404.json,Jimmy Clanton,en
26,McGuire Sisters,Sugartime,1958,405.json,McGuire Sisters,en
28,Kingston Trio,Tom Dooley,1958,407.json,Kingston Trio,en
29,Chuck Berry,Sweet Little Sixteen,1958,408.json,Chuck Berry,en
31,Nat King Cole,Looking Back / Do I Like It,1958,410.json,Nat King Cole,en
32,Monotones,Book Of Love,1958,411.json,Monotones,en
33,Tommy Dorsey Orch. and Warren Covington,Tea For Two Cha Cha,1958,412.json,Tommy Dorsey Orch.,en
34,Little Anthony and The Imperials,Tears On My Pillow,1958,413.json,Little Anthony,en
35,Royal Teens,Short Shorts,1958,414.json,Royal Teens,en
36,Jerry Lee Lewis,Great Balls Of Fire,1958,415.json,Jerry Lee Lewis,en
37,Chordettes,Lollipop,1958,416.json,Chordettes,en
38,Bobby Darin,Splish Splash,1958,417.json,Bobby Darin,en
39,Connie Francis,Who's Sorry Now,1958,418.json,Connie Francis,en
41,Jody Reynolds,Endles Sleep,1958,420.json,Jody Reynolds,en
42,Bobby Freeman,Do You Want To Dance?,1958,421.json,Bobby Freeman,en
43,Kalin Twins,When,1958,422.json,Kalin Twins,en
44,Teddy Bears,To Know Him Is To Love Him,1958,423.json,Teddy Bears,en
45,Pat Boone,April Love,1958,424.json,Pat Boone,en
47,Crescendos,Oh Julie,1958,426.json,Crescendos,en
48,Diamonds,The Stroll,1958,427.json,Diamonds,en
50,Buddy Holly,Peggy Sue,1958,429.json,Buddy Holly,en
51,Don Gibson,Oh Lonesome Me,1958,430.json,Don Gibson,en
52,Big Bopper,Chantilly Lace,1958,431.json,Big Bopper,en
53,Rick Nelson,Lonesome Town,1958,432.json,Rick Nelson,en
54,Frank Sinatra,All the Way,1958,433.json,Frank Sinatra,en
55,Elvis Presley,One Night,1958,434.json,Elvis Presley,en
56,Robin Luke,Susie Darlin',1958,435.json,Robin Luke,en
57,Four Preps,26 Miles,1958,436.json,Four Preps,en
58,Earl Grant,The End,1958,437.json,Earl Grant,en
59,Jimmie Rodgers,Kisses Sweeter Than Wine,1958,438.json,Jimmie Rodgers,en
62,Everly Brothers,Problems,1958,441.json,Everly Brothers,en
63,Bobby Darin,Queen of the Hop,1958,442.json,Bobby Darin,en
65,Elvis Presley,I Got Stung,1958,444.json,Elvis Presley,en
66,Andy Williams,Are You Sincere,1958,445.json,Andy Williams,en
