Position,Artist,Song Title,Split Names,Spotify ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
78,Lil Tjay,In My Head,Lil Tjay,1HvTxgCj0mTzQlEo0zLvFb,0.684,0.545,1,-6.885,1,0.121,0.159,0.0,0.102,0.407,143.049,audio_features,1HvTxgCj0mTzQlEo0zLvFb,spotify:track:1HvTxgCj0mTzQlEo0zLvFb,https://api.spotify.com/v1/tracks/1HvTxgCj0mTzQlEo0zLvFb,https://api.spotify.com/v1/audio-analysis/1HvTxgCj0mTzQlEo0zLvFb,135264,4
79,4*TOWN (From Disney And Pixar's Turning Red),Nobody Like U,4*TOWN (From Disney And Pixar's Turning Red),4bV5sf2B4hWBBd5HQ8S7KB,0.905,0.631,9,-10.06,0,0.177,0.129,0.0,0.101,0.751,105.026,audio_features,4bV5sf2B4hWBBd5HQ8S7KB,spotify:track:4bV5sf2B4hWBBd5HQ8S7KB,https://api.spotify.com/v1/tracks/4bV5sf2B4hWBBd5HQ8S7KB,https://api.spotify.com/v1/audio-analysis/4bV5sf2B4hWBBd5HQ8S7KB,160947,4
80,Yahritza y Su Esencia,Soy El Unico,Yahritza y Su Esencia,6HJIZUOiZDE814XMhRGSZN,0.708,0.449,4,-4.369,0,0.0286,0.451,0.0,0.111,0.63,84.396,audio_features,6HJIZUOiZDE814XMhRGSZN,spotify:track:6HJIZUOiZDE814XMhRGSZN,https://api.spotify.com/v1/tracks/6HJIZUOiZDE814XMhRGSZN,https://api.spotify.com/v1/audio-analysis/6HJIZUOiZDE814XMhRGSZN,214000,1
81,The Walters,I Love You So,The Walters,4SqWKzw0CbA05TGszDgMlc,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977,audio_features,4SqWKzw0CbA05TGszDgMlc,spotify:track:4SqWKzw0CbA05TGszDgMlc,https://api.spotify.com/v1/tracks/4SqWKzw0CbA05TGszDgMlc,https://api.spotify.com/v1/audio-analysis/4SqWKzw0CbA05TGszDgMlc,160240,4
82,Blake Shelton,Come Back As A Country Boy,Blake Shelton,5EDtmgwR1lDmDGLZraNpJg,0.487,0.796,7,-3.9,0,0.0339,0.0197,0.000192,0.327,0.44,76.037,audio_features,5EDtmgwR1lDmDGLZraNpJg,spotify:track:5EDtmgwR1lDmDGLZraNpJg,https://api.spotify.com/v1/tracks/5EDtmgwR1lDmDGLZraNpJg,https://api.spotify.com/v1/audio-analysis/5EDtmgwR1lDmDGLZraNpJg,221693,4
83,6ix9ine,GINE,6ix9ine,4SCdkCFsbnQD6qnVc9l5Bt,0.563,0.724,2,-4.651,1,0.347,0.0831,0.0,0.237,0.486,93.006,audio_features,4SCdkCFsbnQD6qnVc9l5Bt,spotify:track:4SCdkCFsbnQD6qnVc9l5Bt,https://api.spotify.com/v1/tracks/4SCdkCFsbnQD6qnVc9l5Bt,https://api.spotify.com/v1/audio-analysis/4SCdkCFsbnQD6qnVc9l5Bt,134845,4
84,"Fivio Foreign, Kanye West & Alicia Keys",City Of Gods,"Fivio Foreign, Kanye West",4huBDGP4I3S0pYI0EaRN1c,0.474,0.801,8,-5.978,0,0.375,0.102,0.0,0.322,0.497,147.356,audio_features,4huBDGP4I3S0pYI0EaRN1c,spotify:track:4huBDGP4I3S0pYI0EaRN1c,https://api.spotify.com/v1/tracks/4huBDGP4I3S0pYI0EaRN1c,https://api.spotify.com/v1/audio-analysis/4huBDGP4I3S0pYI0EaRN1c,256000,4
85,5 Seconds Of Summer,Complete Mess,5 Seconds Of Summer,1Y8COP6Oqef3UxIONvzx6I,0.398,0.519,7,-6.926,1,0.0315,0.0573,1.86e-05,0.191,0.133,81.377,audio_features,1Y8COP6Oqef3UxIONvzx6I,spotify:track:1Y8COP6Oqef3UxIONvzx6I,https://api.spotify.com/v1/tracks/1Y8COP6Oqef3UxIONvzx6I,https://api.spotify.com/v1/audio-analysis/1Y8COP6Oqef3UxIONvzx6I,206361,4
86,Kane Brown,Leave You Alone,Kane Brown,5J8AKBaUq1WHrzrm9YWlP3,0.447,0.538,5,-7.258,1,0.0338,0.119,0.0,0.188,0.453,123.746,audio_features,5J8AKBaUq1WHrzrm9YWlP3,spotify:track:5J8AKBaUq1WHrzrm9YWlP3,https://api.spotify.com/v1/tracks/5J8AKBaUq1WHrzrm9YWlP3,https://api.spotify.com/v1/audio-analysis/5J8AKBaUq1WHrzrm9YWlP3,214239,3
87,Imagine Dragons,Bones,Imagine Dragons,0HqZX76SFLDz2aW8aiqi7G,0.773,0.742,5,-3.678,0,0.046,0.0206,0.0,0.0754,0.571,114.071,audio_features,0HqZX76SFLDz2aW8aiqi7G,spotify:track:0HqZX76SFLDz2aW8aiqi7G,https://api.spotify.com/v1/tracks/0HqZX76SFLDz2aW8aiqi7G,https://api.spotify.com/v1/audio-analysis/0HqZX76SFLDz2aW8aiqi7G,165265,4
88,Gunna,Banking On Me,Gunna,7Fege3yv4dvehB3NdRBGwI,0.793,0.308,0,-10.414,0,0.0466,0.613,1.68e-05,0.0953,0.46,135.143,audio_features,7Fege3yv4dvehB3NdRBGwI,spotify:track:7Fege3yv4dvehB3NdRBGwI,https://api.spotify.com/v1/tracks/7Fege3yv4dvehB3NdRBGwI,https://api.spotify.com/v1/audio-analysis/7Fege3yv4dvehB3NdRBGwI,200000,4
89,Russell Dickerson & Jake Scott,She Likes It,Russell Dickerson,6VVqPBFZIbcmv14zNfOc13,0.79,0.325,4,-11.689,1,0.127,0.509,0.0,0.155,0.539,126.877,audio_features,6VVqPBFZIbcmv14zNfOc13,spotify:track:6VVqPBFZIbcmv14zNfOc13,https://api.spotify.com/v1/tracks/6VVqPBFZIbcmv14zNfOc13,https://api.spotify.com/v1/audio-analysis/6VVqPBFZIbcmv14zNfOc13,163311,4
90,Ari Lennox,Pressure,Ari Lennox,6ElfCM1XppU0YWkkFYh4s2,0.85,0.658,0,-5.558,1,0.221,0.139,0.0,0.063,0.832,144.445,audio_features,6ElfCM1XppU0YWkkFYh4s2,spotify:track:6ElfCM1XppU0YWkkFYh4s2,https://api.spotify.com/v1/tracks/6ElfCM1XppU0YWkkFYh4s2,https://api.spotify.com/v1/audio-analysis/6ElfCM1XppU0YWkkFYh4s2,193279,4
91,Rauw Alejandro & Chencho Corleone,Desesperados,Rauw Alej,6ZOcbKub95XSDESsKKuH41,0.869,0.694,1,-3.35,0,0.0783,0.356,0.00125,0.0878,0.511,90.02,audio_features,6ZOcbKub95XSDESsKKuH41,spotify:track:6ZOcbKub95XSDESsKKuH41,https://api.spotify.com/v1/tracks/6ZOcbKub95XSDESsKKuH41,https://api.spotify.com/v1/audio-analysis/6ZOcbKub95XSDESsKKuH41,224997,4
92,Lucky Daye,Over,Lucky Daye,1DOgkaR5Gqa8JtPEIbQORC,0.677,0.541,6,-6.057,0,0.0571,0.48,0.0,0.125,0.379,103.369,audio_features,1DOgkaR5Gqa8JtPEIbQORC,spotify:track:1DOgkaR5Gqa8JtPEIbQORC,https://api.spotify.com/v1/tracks/1DOgkaR5Gqa8JtPEIbQORC,https://api.spotify.com/v1/audio-analysis/1DOgkaR5Gqa8JtPEIbQORC,205276,4
93,"Stephanie Beatriz, Olga Merediz & Encanto Cast",The Family Madrigal,"Stephanie Beatriz, Olga Merediz",4b1yxSdlumA8N4fEk4UOZp,0.594,0.628,1,-6.345,1,0.359,0.12,0.0,0.0582,0.556,141.391,audio_features,4b1yxSdlumA8N4fEk4UOZp,spotify:track:4b1yxSdlumA8N4fEk4UOZp,https://api.spotify.com/v1/tracks/4b1yxSdlumA8N4fEk4UOZp,https://api.spotify.com/v1/audio-analysis/4b1yxSdlumA8N4fEk4UOZp,257213,4
94,Queen Naija & Big Sean,Hate Our Love,Queen Naija,3pEINn37iH5fx8TpXYNGIO,0.662,0.655,2,-5.44,1,0.26,0.462,0.0,0.124,0.356,82.079,audio_features,3pEINn37iH5fx8TpXYNGIO,spotify:track:3pEINn37iH5fx8TpXYNGIO,https://api.spotify.com/v1/tracks/3pEINn37iH5fx8TpXYNGIO,https://api.spotify.com/v1/audio-analysis/3pEINn37iH5fx8TpXYNGIO,226374,4
95,Sebastian Yatra,Dos Oruguitas,Sebastian Yatra,5rohUzwEoRsUvAA1Bf3DLo,0.423,0.355,0,-10.565,1,0.0454,0.761,0.0,0.0915,0.465,93.788,audio_features,5rohUzwEoRsUvAA1Bf3DLo,spotify:track:5rohUzwEoRsUvAA1Bf3DLo,https://api.spotify.com/v1/tracks/5rohUzwEoRsUvAA1Bf3DLo,https://api.spotify.com/v1/audio-analysis/5rohUzwEoRsUvAA1Bf3DLo,214613,4
96,Gunna Featuring Drake,P Power,Gunna,0lEjxUUlKqjqXrVlIHFduD,0.828,0.591,1,-6.217,1,0.109,0.0199,0.000323,0.361,0.202,119.251,audio_features,0lEjxUUlKqjqXrVlIHFduD,spotify:track:0lEjxUUlKqjqXrVlIHFduD,https://api.spotify.com/v1/tracks/0lEjxUUlKqjqXrVlIHFduD,https://api.spotify.com/v1/audio-analysis/0lEjxUUlKqjqXrVlIHFduD,193347,4
97,Yeat,Money So Big,Yeat,7BbaIYAdi3pg4MGl6PHwPv,0.693,0.575,2,-7.633,1,0.0906,0.121,0.0,0.104,0.353,138.016,audio_features,7BbaIYAdi3pg4MGl6PHwPv,spotify:track:7BbaIYAdi3pg4MGl6PHwPv,https://api.spotify.com/v1/tracks/7BbaIYAdi3pg4MGl6PHwPv,https://api.spotify.com/v1/audio-analysis/7BbaIYAdi3pg4MGl6PHwPv,160052,4
98,Coi Leray & Nicki Minaj,Blick Blick!,Coi Leray,7LczcBaamU9pTkV4Cl9NyX,0.916,0.824,8,-4.444,0,0.422,0.222,0.00108,0.0661,0.87,139.926,audio_features,7LczcBaamU9pTkV4Cl9NyX,spotify:track:7LczcBaamU9pTkV4Cl9NyX,https://api.spotify.com/v1/tracks/7LczcBaamU9pTkV4Cl9NyX,https://api.spotify.com/v1/audio-analysis/7LczcBaamU9pTkV4Cl9NyX,178413,4
99,Bailey Zimmerman,Fall In Love,Bailey Zimmerman,5gVCfYmQRPy1QJifP8f5gg,0.524,0.643,9,-6.055,1,0.0297,0.451,0.0,0.221,0.397,135.962,audio_features,5gVCfYmQRPy1QJifP8f5gg,spotify:track:5gVCfYmQRPy1QJifP8f5gg,https://api.spotify.com/v1/tracks/5gVCfYmQRPy1QJifP8f5gg,https://api.spotify.com/v1/audio-analysis/5gVCfYmQRPy1QJifP8f5gg,232059,4
100,Daddy Yankee & Bad Bunny,X Ultima Vez,Daddy Yankee,48AJSd42lXpicsGqcgopof,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,audio_features,48AJSd42lXpicsGqcgopof,spotify:track:48AJSd42lXpicsGqcgopof,https://api.spotify.com/v1/tracks/48AJSd42lXpicsGqcgopof,https://api.spotify.com/v1/audio-analysis/48AJSd42lXpicsGqcgopof,192477,4
