Position,Artist,Song Title,Year,JSON file,Split Names,Song Language,Spotify ID,Spotify Artist,Spotify Song,Spotify Music Genre,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
39,Green Day,Holiday,2005,5118.json,Green Day,en,4VgEM12OeaN3GyBV487Me7,Green Day,Holiday,"['permanent wave', 'punk']",0.552,232680.0,0.89,4VgEM12OeaN3GyBV487Me7,0.0,8.0,0.888,-3.409,1.0,0.0342,146.525,4.0,https://api.spotify.com/v1/tracks/4VgEM12OeaN3GyBV487Me7,audio_features,spotify:track:4VgEM12OeaN3GyBV487Me7,0.716
40,Fall Out Boy,"Sugar, We're Goin' Down",2005,5119.json,Fall Out Boy,en,2TfSHkHiFO4gRztVIkggkE,Fall Out Boy,"Sugar, We're Goin Down","['emo', 'modern rock', 'rock']",0.494,229093.0,0.842,2TfSHkHiFO4gRztVIkggkE,0.0,7.0,0.122,-4.784,1.0,0.0843,162.011,4.0,https://api.spotify.com/v1/tracks/2TfSHkHiFO4gRztVIkggkE,audio_features,spotify:track:2TfSHkHiFO4gRztVIkggkE,0.574
40,Fall Out Boy,"Sugar, We're Goin' Down",2005,5119.json,Fall Out Boy,en,2TfSHkHiFO4gRztVIkggkE,Fall Out Boy,"Sugar, We're Goin Down","['emo', 'modern rock', 'rock']",0.494,229093.0,0.842,2TfSHkHiFO4gRztVIkggkE,0.0,7.0,0.122,-4.784,1.0,0.0843,162.011,4.0,https://api.spotify.com/v1/tracks/2TfSHkHiFO4gRztVIkggkE,audio_features,spotify:track:2TfSHkHiFO4gRztVIkggkE,0.574
68,Fall Out Boy,Sugar We're Goin' Down,2006,5247.json,Fall Out Boy,en,2TfSHkHiFO4gRztVIkggkE,Fall Out Boy,"Sugar, We're Goin Down","['emo', 'modern rock', 'rock']",0.494,229093.0,0.842,2TfSHkHiFO4gRztVIkggkE,0.0,7.0,0.122,-4.784,1.0,0.0843,162.011,4.0,https://api.spotify.com/v1/tracks/2TfSHkHiFO4gRztVIkggkE,audio_features,spotify:track:2TfSHkHiFO4gRztVIkggkE,0.574
68,Fall Out Boy,Sugar We're Goin' Down,2006,5247.json,Fall Out Boy,en,2TfSHkHiFO4gRztVIkggkE,Fall Out Boy,"Sugar, We're Goin Down","['emo', 'modern rock', 'rock']",0.494,229093.0,0.842,2TfSHkHiFO4gRztVIkggkE,0.0,7.0,0.122,-4.784,1.0,0.0843,162.011,4.0,https://api.spotify.com/v1/tracks/2TfSHkHiFO4gRztVIkggkE,audio_features,spotify:track:2TfSHkHiFO4gRztVIkggkE,0.574
41,Pretty Ricky,Grind With Me,2005,5120.json,Pretty Ricky,en,3B7i9OKRRmIsSBHEbJz58Y,Pretty Ricky,Grind With Me,"['contemporary r&b', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'miami hip hop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",0.7,237733.0,0.538,3B7i9OKRRmIsSBHEbJz58Y,0.0,1.0,0.105,-5.952,1.0,0.045,136.518,4.0,https://api.spotify.com/v1/tracks/3B7i9OKRRmIsSBHEbJz58Y,audio_features,spotify:track:3B7i9OKRRmIsSBHEbJz58Y,0.189
42,Chris Brown,Run It!,2005,5121.json,Chris Brown,en,7xYnUQigPoIDAMPVK79NEq,Chris Brown,Run It! (feat. Juelz Santana),"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",0.846,229867.0,0.482,7xYnUQigPoIDAMPVK79NEq,0.0,1.0,0.393,-6.721,0.0,0.129,100.969,4.0,https://api.spotify.com/v1/tracks/7xYnUQigPoIDAMPVK79NEq,audio_features,spotify:track:7xYnUQigPoIDAMPVK79NEq,0.212
42,Chris Brown,Run It!,2005,5121.json,Chris Brown,en,7xYnUQigPoIDAMPVK79NEq,Chris Brown,Run It! (feat. Juelz Santana),"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",0.846,229867.0,0.482,7xYnUQigPoIDAMPVK79NEq,0.0,1.0,0.393,-6.721,0.0,0.129,100.969,4.0,https://api.spotify.com/v1/tracks/7xYnUQigPoIDAMPVK79NEq,audio_features,spotify:track:7xYnUQigPoIDAMPVK79NEq,0.212
16,Chris Brown,Run It!,2006,5195.json,Chris Brown,en,7xYnUQigPoIDAMPVK79NEq,Chris Brown,Run It! (feat. Juelz Santana),"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",0.846,229867.0,0.482,7xYnUQigPoIDAMPVK79NEq,0.0,1.0,0.393,-6.721,0.0,0.129,100.969,4.0,https://api.spotify.com/v1/tracks/7xYnUQigPoIDAMPVK79NEq,audio_features,spotify:track:7xYnUQigPoIDAMPVK79NEq,0.212
16,Chris Brown,Run It!,2006,5195.json,Chris Brown,en,7xYnUQigPoIDAMPVK79NEq,Chris Brown,Run It! (feat. Juelz Santana),"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",0.846,229867.0,0.482,7xYnUQigPoIDAMPVK79NEq,0.0,1.0,0.393,-6.721,0.0,0.129,100.969,4.0,https://api.spotify.com/v1/tracks/7xYnUQigPoIDAMPVK79NEq,audio_features,spotify:track:7xYnUQigPoIDAMPVK79NEq,0.212
43,Nickelback,Photograph,2005,5122.json,Nickelback,en,3hb2ScEVkGchcAQqrPLP0R,Nickelback,Photograph,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']",0.515,258920.0,0.876,3hb2ScEVkGchcAQqrPLP0R,0.000166,8.0,0.136,-3.756,1.0,0.0292,145.916,4.0,https://api.spotify.com/v1/tracks/3hb2ScEVkGchcAQqrPLP0R,audio_features,spotify:track:3hb2ScEVkGchcAQqrPLP0R,0.385
43,Nickelback,Photograph,2005,5122.json,Nickelback,en,3hb2ScEVkGchcAQqrPLP0R,Nickelback,Photograph,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']",0.515,258920.0,0.876,3hb2ScEVkGchcAQqrPLP0R,0.000166,8.0,0.136,-3.756,1.0,0.0292,145.916,4.0,https://api.spotify.com/v1/tracks/3hb2ScEVkGchcAQqrPLP0R,audio_features,spotify:track:3hb2ScEVkGchcAQqrPLP0R,0.385
38,Nickelback,Photograph,2006,5217.json,Nickelback,en,3hb2ScEVkGchcAQqrPLP0R,Nickelback,Photograph,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']",0.515,258920.0,0.876,3hb2ScEVkGchcAQqrPLP0R,0.000166,8.0,0.136,-3.756,1.0,0.0292,145.916,4.0,https://api.spotify.com/v1/tracks/3hb2ScEVkGchcAQqrPLP0R,audio_features,spotify:track:3hb2ScEVkGchcAQqrPLP0R,0.385
38,Nickelback,Photograph,2006,5217.json,Nickelback,en,3hb2ScEVkGchcAQqrPLP0R,Nickelback,Photograph,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']",0.515,258920.0,0.876,3hb2ScEVkGchcAQqrPLP0R,0.000166,8.0,0.136,-3.756,1.0,0.0292,145.916,4.0,https://api.spotify.com/v1/tracks/3hb2ScEVkGchcAQqrPLP0R,audio_features,spotify:track:3hb2ScEVkGchcAQqrPLP0R,0.385
44,Akon,Lonely,2005,5123.json,Akon,en,4v7DCN09hgXkKazefkznDQ,Akon,Lonely,['dance pop'],0.634,235800.0,0.526,4v7DCN09hgXkKazefkznDQ,0.0,5.0,0.257,-7.881,0.0,0.0333,90.087,4.0,https://api.spotify.com/v1/tracks/4v7DCN09hgXkKazefkznDQ,audio_features,spotify:track:4v7DCN09hgXkKazefkznDQ,0.623
45,Howie Day,Collide,2005,5124.json,Howie Day,en,6dwkFmLUz6hx2CZG2EqLol,Howie Day,Collide,"['acoustic pop', 'neo mellow', 'pop rock']",0.636,249120.0,0.625,6dwkFmLUz6hx2CZG2EqLol,5.35e-05,11.0,0.119,-7.895,1.0,0.0277,93.931,4.0,https://api.spotify.com/v1/tracks/6dwkFmLUz6hx2CZG2EqLol,audio_features,spotify:track:6dwkFmLUz6hx2CZG2EqLol,0.342
46,Green Day,Wake Me Up When September Ends,2005,5125.json,Green Day,en,3ZffCQKLFLUvYM59XKLbVm,Green Day,Wake Me up When September Ends,"['permanent wave', 'punk']",0.546,285653.0,0.814,3ZffCQKLFLUvYM59XKLbVm,0.0,7.0,0.0972,-5.146,1.0,0.0314,104.98,4.0,https://api.spotify.com/v1/tracks/3ZffCQKLFLUvYM59XKLbVm,audio_features,spotify:track:3ZffCQKLFLUvYM59XKLbVm,0.146
51,David Banner,Play,2005,5130.json,David Banner,en,5CWyE2OcZI1HVnHBh4RrKF,David Banner,Play,"['conscious hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.837,230133.0,0.658,5CWyE2OcZI1HVnHBh4RrKF,0.122,1.0,0.243,-8.013,0.0,0.126,95.027,4.0,https://api.spotify.com/v1/tracks/5CWyE2OcZI1HVnHBh4RrKF,audio_features,spotify:track:5CWyE2OcZI1HVnHBh4RrKF,0.586
55,"Trick Daddy feat. Ludacris, Lil' Kim and Cee-Lo",Sugar (Gimme Some),2005,5134.json,Trick Daddy,en,7x6SuiiH3fcrsAgfkp2OwQ,Trick Daddy,Sugar (Gimme Some) [feat. Cee-Lo & Ludacris],"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.822,245107.0,0.673,7x6SuiiH3fcrsAgfkp2OwQ,0.0,4.0,0.323,-6.141,0.0,0.228,120.02,4.0,https://api.spotify.com/v1/tracks/7x6SuiiH3fcrsAgfkp2OwQ,audio_features,spotify:track:7x6SuiiH3fcrsAgfkp2OwQ,0.85
56,Alicia Keys,Karma,2005,5135.json,Alicia Keys,en,588RGyR1f4Plc8nm7SrdCa,Alicia Keys,Karma,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",0.727,256000.0,0.736,588RGyR1f4Plc8nm7SrdCa,0.00311,10.0,0.0348,-6.203,1.0,0.0615,85.098,4.0,https://api.spotify.com/v1/tracks/588RGyR1f4Plc8nm7SrdCa,audio_features,spotify:track:588RGyR1f4Plc8nm7SrdCa,0.687
57,Coldplay,Speed Of Sound,2005,5136.json,Coldplay,en,7clUVcSOtkNWa58Gw5RfD4,Coldplay,Speed of Sound,"['permanent wave', 'pop']",0.514,287907.0,0.898,7clUVcSOtkNWa58Gw5RfD4,0.0345,11.0,0.0746,-6.765,0.0,0.0577,123.067,4.0,https://api.spotify.com/v1/tracks/7clUVcSOtkNWa58Gw5RfD4,audio_features,spotify:track:7clUVcSOtkNWa58Gw5RfD4,0.353
58,Gavin DeGraw,I Don't Want To Be,2005,5137.json,Gavin DeGraw,en,4vl2zwXsTmAxgu9iY0g6UK,Gavin DeGraw,I Don't Want to Be,"['acoustic pop', 'dance pop', 'neo mellow', 'pop', 'pop rock']",0.423,217760.0,0.862,4vl2zwXsTmAxgu9iY0g6UK,0.0,0.0,0.133,-5.13,0.0,0.0695,154.756,4.0,https://api.spotify.com/v1/tracks/4vl2zwXsTmAxgu9iY0g6UK,audio_features,spotify:track:4vl2zwXsTmAxgu9iY0g6UK,0.462
59,Eminem,Mockingbird,2005,5138.json,Eminem,en,561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,"['detroit hip hop', 'hip hop', 'rap']",0.637,250760.0,0.678,561jH07mF1jHuk7KlaeF0s,0.0,0.0,0.156,-3.798,1.0,0.266,84.039,4.0,https://api.spotify.com/v1/tracks/561jH07mF1jHuk7KlaeF0s,audio_features,spotify:track:561jH07mF1jHuk7KlaeF0s,0.254
63,Ying Yang Twins,Wait (The Whisper Song),2005,5142.json,Ying Yang Twins,en,5Y78yINSOCW6xbOfGWNBg4,Ying Yang Twins,Wait (The Whisper Song),"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.933,179160.0,0.513,5Y78yINSOCW6xbOfGWNBg4,0.00248,7.0,0.107,-13.203,1.0,0.347,102.017,4.0,https://api.spotify.com/v1/tracks/5Y78yINSOCW6xbOfGWNBg4,audio_features,spotify:track:5Y78yINSOCW6xbOfGWNBg4,0.595
64,Backstreet Boys,Incomplete,2005,5143.json,Backstreet Boys,en,0CnD7Hiw6pae6rLsZw5q5W,Backstreet Boys,Incomplete,"['boy band', 'dance pop']",0.437,239587.0,0.589,0CnD7Hiw6pae6rLsZw5q5W,0.0,4.0,0.0768,-4.834,1.0,0.0331,133.631,4.0,https://api.spotify.com/v1/tracks/0CnD7Hiw6pae6rLsZw5q5W,audio_features,spotify:track:0CnD7Hiw6pae6rLsZw5q5W,0.165
